                       RawText	                   WordsVector	                     Deceptive	             NumberOfSentences	                 NumberOfWords	          NumberOfComplexWords	             NumberOfSyllables	            NumberOfCharacters	             AvarageWordLength	     AutomatedReadabilityIndex	               SMOGReadability	          SMOGReadabilityIndex	              ColemanLiauIndex	               GunningFogIndex	 FleschKincaidReadabilityIndex	        FleschReadabilityIndex
I stay in Chicago all the t...	[[I, stay, in, Chicago, all...	                         false	                           6.0	                         155.0	                          16.0	                         213.0	                         641.0	             4.233766233766234	                        10.965	                        12.458	                        11.944	                         7.558	                          14.0	                          10.7	                        64.357
I stayed here for about a w...	[[I, stayed, here, for, abo...	                         false	                           4.0	                          49.0	                           8.0	                          72.0	                         220.0	             5.021739130434782	                         5.842	                        11.208	                        10.746	                         8.645	                          11.2	                         6.526	                        70.091
The Affinia Hotel is beauti...	[[The, Affinia, Hotel, is, ...	                          true	                           6.0	                          65.0	                           9.0	                          95.0	                         274.0	                           4.5	                         3.841	                        10.126	                         9.708	                         7.029	                           9.2	                         5.881	                        72.193
The location of the hotel i...	[[The, location, of, the, h...	                         false	                           8.0	                         149.0	                          13.0	                         209.0	                         653.0	             4.466666666666667	                         8.524	                        10.411	                         9.982	                         9.013	                          10.4	                         8.225	                        69.264
Location, location, locatio...	[[Location, location, locat...	                         false	                          10.0	                         130.0	                          17.0	                         193.0	                         587.0	             4.895161290322581	                         6.337	                        10.578	                        10.141	                         8.796	                          10.4	                         6.998	                        68.042
My family has dubbed the Om...	[[My, family, has, dubbed, ...	                         false	                           5.0	                          90.0	                           6.0	                         128.0	                         398.0	             4.511111111111111	                         8.399	                         9.387	                           9.0	                         9.247	                           9.6	                         8.212	                        68.245
We booked at another hotel ...	[[We, booked, at, another, ...	                         false	                          10.0	                         114.0	                          11.0	                         162.0	                         496.0	            4.4298245614035086	                         4.763	                         9.121	                         8.745	                         7.827	                           8.0	                         5.624	                        75.043
Didn't get the room we were...	[[Did, not, get, the, room,...	                         false	                           7.0	                          86.0	                          10.0	                         123.0	                         363.0	             4.295454545454546	                         4.593	                         9.957	                         9.547	                         7.061	                           9.2	                         6.078	                        73.367
I walked into this beautifu...	[[I, walked, into, this, be...	                          true	                           4.0	                          50.0	                           8.0	                          80.0	                         228.0	                          4.62	                         6.298	                        11.208	                        10.746	                         9.058	                          11.2	                         8.165	                        58.787
I have stayed at the James ...	[[I, have, stayed, at, the,...	                         false	                          20.0	                         366.0	                          24.0	                         488.0	                        1554.0	                         4.375	                         7.718	                         9.387	                           9.0	                         8.208	                           9.6	                          7.28	                        75.461
The room itself was fine an...	[[The, room, itself, was, f...	                         false	                           7.0	                          99.0	                          11.0	                         140.0	                         404.0	             4.346938775510204	                         4.862	                         10.29	                         9.866	                         6.236	                          10.0	                         6.613	                        72.844
Was there recently for one ...	[[Was, there, recently, for...	                         false	                          14.0	                         199.0	                          11.0	                         251.0	                         746.0	            3.9746192893401013	                         3.334	                         8.193	                         7.855	                          4.28	                           7.6	                         4.837	                        85.701
How about this had reservat...	[[How, about, this, had, re...	                         false	                           6.0	                         118.0	                          11.0	                         165.0	                         520.0	             4.436974789915967	                         9.159	                        10.864	                        10.416	                         9.156	                          11.2	                          8.58	                        68.577
The Omni Chicago Hotel was ...	[[The, Omni, Chicago, Hotel...	                          true	                           8.0	                         113.0	                           5.0	                         149.0	                         444.0	            3.9478260869565216	                         4.139	                         7.645	                          7.33	                         5.343	                           7.2	                         5.478	                        80.946
I recently stayed at the Pa...	[[I, recently, stayed, at, ...	                          true	                          11.0	                         195.0	                          21.0	                         272.0	                         819.0	             4.314432989690721	                         7.216	                        11.022	                        10.568	                         7.938	                          10.8	                         7.783	                        70.836
great hotel. went for the w...	[[great, hotel.], [went, fo...	                          true	                           4.0	                          65.0	                          11.0	                          97.0	                         300.0	            4.6923076923076925	                         8.433	                        12.603	                        12.083	                        10.385	                          12.8	                         8.357	                        64.092
We got this hotel by chance...	[[We, got, this, hotel, by,...	                         false	                          10.0	                         160.0	                          20.0	                         237.0	                         695.0	             4.421686746987952	                         7.029	                        11.208	                        10.746	                         8.785	                          11.2	                         8.129	                        65.281
My wife and I recently stay...	[[My, wife, and, I, recentl...	                          true	                           9.0	                         122.0	                          23.0	                         197.0	                         560.0	             4.655737704918033	                         6.967	                        12.262	                        11.756	                         9.236	                          12.4	                         8.751	                        56.468
I stayed at the Sheraton Ch...	[[I, stayed, at, the, Shera...	                          true	                          12.0	                         197.0	                          13.0	                         253.0	                         743.0	             3.829145728643216	                         4.542	                         9.075	                         8.701	                         5.415	                           8.8	                         5.967	                        81.523
My wife and I stayed at the...	[[My, wife, and, I, stayed,...	                          true	                          12.0	                         153.0	                           4.0	                         187.0	                         561.0	            3.8533333333333335	                         2.215	                         6.427	                         6.162	                         3.797	                           5.6	                         3.805	                        90.494
Recently, I traveled to Chi...	[[Recently, I, traveled, to...	                          true	                           4.0	                          76.0	                          15.0	                         118.0	                         345.0	             4.578947368421052	                         9.451	                        14.192	                        13.607	                         9.938	                          15.2	                        10.141	                        56.197
The concierge was so helpfu...	[[The, concierge, was, so, ...	                         false	                           8.0	                         123.0	                          20.0	                         192.0	                         589.0	                         4.864	                         8.812	                        12.162	                         11.66	                        11.405	                          12.4	                         8.826	                        59.171
This hotel has the worst ro...	[[This, hotel, has, the, wo...	                         false	                          12.0	                         208.0	                          17.0	                         283.0	                         857.0	             4.182242990654205	                         6.643	                         9.929	                         9.519	                         7.468	                          10.0	                         7.225	                        74.137
Our third stay at the Homew...	[[Our, third, stay, at, the...	                         false	                           7.0	                         185.0	                          18.0	                         259.0	                         795.0	             4.336898395721925	                        12.025	                         12.29	                        11.783	                         8.511	                          14.0	                        11.237	                         61.57
The Ambassador East is loca...	[[The, Ambassador, East, is...	                         false	                           5.0	                          69.0	                          12.0	                         105.0	                         300.0	             4.371428571428571	                         5.948	                        11.979	                        11.485	                         7.809	                          12.0	                         7.749	                        64.089
Our vacation was highlighte...	[[Our, vacation, was, highl...	                          true	                           3.0	                         174.0	                          26.0	                         272.0	                         817.0	             4.952095808383233	                        29.685	                        19.947	                        19.125	                        11.856	                          28.8	                        25.476	                        15.717
I recently stayed at the Am...	[[I, recently, stayed, at, ...	                          true	                          11.0	                         166.0	                          30.0	                         252.0	                         747.0	             4.618181818181818	                          7.31	                        12.563	                        12.045	                         9.705	                          13.2	                         8.209	                        63.089
My stay at the Hotel Monaco...	[[My, stay, at, the, Hotel,...	                          true	                           6.0	                         103.0	                          12.0	                         150.0	                         443.0	             4.421568627450981	                         7.411	                        11.208	                        10.746	                         8.533	                          11.2	                         8.289	                        66.207
When my husband and I went ...	[[When, my, husband, and, I...	                          true	                           7.0	                         103.0	                          10.0	                         146.0	                         436.0	             4.300970873786408	                         5.865	                         9.957	                         9.547	                         7.132	                           9.2	                         6.875	                        71.982
From the moment I stepped i...	[[From, the, moment, I, ste...	                          true	                          13.0	                         171.0	                          24.0	                         263.0	                         785.0	             4.656976744186046	                         6.769	                        10.891	                        10.442	                         9.239	                          10.8	                         7.689	                        63.368
This is an absolutely exqui...	[[This, is, an, absolutely,...	                          true	                           5.0	                         113.0	                          12.0	                         166.0	                         480.0	             4.357142857142857	                         9.877	                        11.979	                        11.485	                         8.219	                          12.8	                        10.559	                        59.616
Excellent Hotel ! Rooms and...	[[Excellent, Hotel], [Rooms...	                         false	                           8.0	                          60.0	                           6.0	                          87.0	                         280.0	             4.766666666666667	                           4.3	                         8.076	                         7.743	                         7.687	                           6.8	                         4.445	                        76.553
We were greeted by staff wi...	[[We, were, greeted, by, st...	                         false	                           6.0	                         112.0	                          11.0	                         154.0	                         485.0	             4.389380530973451	                         8.299	                        10.864	                        10.416	                         8.706	                          10.8	                         7.915	                        71.563
Oh My! More Like A Dank Mus...	[[Oh, My], [More, Like, A, ...	                          true	                           9.0	                         208.0	                          20.0	                         302.0	                         886.0	             4.274881516587678	                        10.188	                        11.645	                        11.165	                         8.289	                          12.8	                        10.556	                        60.545
My wife and I just spent 3 ...	[[My, wife, and, I, just, s...	                         false	                           7.0	                          56.0	                           7.0	                          79.0	                         253.0	             4.888888888888889	                         3.849	                         8.842	                         8.477	                          7.81	                           8.0	                         4.176	                        79.369
My experience at the Hyatt ...	[[My, experience, at, the, ...	                          true	                          11.0	                         139.0	                          20.0	                         202.0	                         604.0	             4.446043165467626	                         5.355	                        10.832	                        10.385	                         7.794	                          10.4	                         6.486	                        71.065
Hyatt Regency Hotel: Good o...	[[Hyatt, Regency, Hotel:, G...	                          true	                          11.0	                         144.0	                          16.0	                         205.0	                         630.0	             4.574468085106383	                         5.722	                        10.019	                         9.606	                         7.969	                           9.6	                         6.314	                         73.11
Terrible experience, I will...	[[Terrible, experience, I, ...	                          true	                           5.0	                          72.0	                           7.0	                          97.0	                         305.0	             4.291666666666667	                         5.722	                         9.889	                         9.481	                         7.151	                           9.2	                         5.923	                        78.244
Conrad Chicago is one of th...	[[Conrad, Chicago, is, one,...	                          true	                           3.0	                          38.0	                           6.0	                          55.0	                         168.0	                           4.5	                         5.726	                        11.208	                        10.746	                          8.24	                          10.8	                         6.429	                        71.531
I've been here for 4 days. ...	[[I've, been, here, for, 4,...	                         false	                          21.0	                         384.0	                          38.0	                         548.0	                        1703.0	             4.545219638242894	                         8.601	                        10.814	                        10.368	                         9.322	                          10.8	                         8.381	                        67.544
The location was good. Chec...	[[The, location, was, good....	                         false	                          17.0	                         215.0	                          10.0	                         276.0	                         858.0	             4.154929577464789	                          3.69	                         7.511	                         7.201	                         5.705	                           6.4	                          4.49	                        85.395
I had high hopes for the Hi...	[[I, had, high, hopes, for,...	                          true	                           6.0	                         123.0	                           7.0	                         160.0	                         453.0	             3.761904761904762	                         6.167	                           9.3	                         8.916	                         4.892	                          10.0	                         7.755	                        75.979
My wife and I booked a Delu...	[[My, wife, and, I, booked,...	                          true	                          10.0	                         124.0	                          17.0	                         185.0	                         548.0	             4.508064516129032	                         5.585	                        10.578	                        10.141	                          8.23	                          10.0	                         6.851	                        68.031
I recently stayed in The Ja...	[[I, recently, stayed, in, ...	                          true	                          13.0	                         219.0	                          17.0	                         297.0	                         904.0	             4.237442922374429	                         6.435	                         9.662	                         9.263	                         7.513	                           9.2	                         6.983	                        75.005
What's not to like? --> Pro...	[[What's, not, to, like?], ...	                         false	                          12.0	                         127.0	                          18.0	                         194.0	                         580.0	             4.841269841269841	                         5.372	                        10.126	                         9.708	                         9.099	                           9.6	                         6.563	                        66.861
My husband and I and our 10...	[[My, husband, and, I, and,...	                         false	                           8.0	                         122.0	                           5.0	                         152.0	                         461.0	            3.8536585365853657	                         3.993	                         7.645	                          7.33	                         5.456	                           7.6	                         5.059	                        85.953
This hotel was chosen by my...	[[This, hotel, was, chosen,...	                         false	                          21.0	                         329.0	                          35.0	                         461.0	                        1386.0	                         4.375	                         6.245	                        10.504	                        10.071	                         8.013	                          10.0	                         7.054	                         72.39
On a recent trip to Chicago...	[[On, a, recent, trip, to, ...	                         false	                           4.0	                          88.0	                           4.0	                         109.0	                         336.0	             3.853932584269663	                         7.554	                         8.842	                         8.477	                         5.689	                          10.4	                         7.606	                        79.716
What a gorgeous hotel! From...	[[What, a, gorgeous, hotel]...	                          true	                           4.0	                          75.0	                           7.0	                         103.0	                         313.0	             4.283783783783784	                         7.601	                        10.686	                        10.246	                         7.781	                          10.8	                         7.928	                         71.62
The Intercontinental Chicag...	[[The, Intercontinental, Ch...	                          true	                           6.0	                         140.0	                          15.0	                         204.0	                         616.0	             4.453900709219858	                        10.961	                        12.162	                         11.66	                         9.116	                          13.2	                        10.704	                        59.877
Did not enjoy my stay at th...	[[Did, not, enjoy, my, stay...	                          true	                           5.0	                          91.0	                          12.0	                         139.0	                         394.0	             4.354838709677419	                         8.063	                        11.979	                        11.485	                         8.702	                          12.4	                         9.532	                        59.138
Even though the reviews of ...	[[Even, though, the, review...	                         false	                           1.0	                         101.0	                           6.0	                         138.0	                         409.0	                          4.16	                        48.143	                        17.122	                        16.416	                         8.052	                          42.4	                        39.923	                       -11.272
I stayed in a Deluxe King S...	[[I, stayed, in, a, Deluxe,...	                         false	                           7.0	                         127.0	                          12.0	                         178.0	                         545.0	                         4.464	                         7.854	                        10.609	                        10.171	                         8.476	                          10.8	                         8.024	                        69.847
As I sit here in my 14th fl...	[[As, I, sit, here, in, my,...	                         false	                          16.0	                         248.0	                          16.0	                         344.0	                        1045.0	            4.3861788617886175	                         6.167	                         8.842	                         8.477	                         8.019	                           8.4	                         6.823	                        73.754
For our anniversary this ye...	[[For, our, anniversary, th...	                          true	                          15.0	                         202.0	                          12.0	                         267.0	                         780.0	                         3.995	                          3.49	                         8.239	                         7.899	                         4.944	                           7.2	                         5.259	                        81.344
I usually stay at the Hotel...	[[I, usually, stay, at, the...	                         false	                          13.0	                         202.0	                          22.0	                         281.0	                         817.0	                          4.17	                         5.389	                        10.561	                        10.125	                         7.022	                          10.0	                         6.885	                        73.377
My boyfriend and I were ama...	[[My, boyfriend, and, I, we...	                         false	                           3.0	                          41.0	                           5.0	                          58.0	                         170.0	            4.2682926829268295	                         4.933	                        10.504	                        10.071	                         6.622	                          10.0	                         6.433	                        73.285
I stayed for just one nite ...	[[I, stayed, for, just, one...	                         false	                          14.0	                         286.0	                          20.0	                         378.0	                        1129.0	            3.9828178694158076	                         7.377	                         9.957	                         9.547	                         6.451	                          10.4	                         7.973	                        74.286
The Affinia Chicago is a wo...	[[The, Affinia, Chicago, is...	                          true	                           2.0	                          56.0	                           9.0	                          80.0	                         242.0	                         4.375	                        12.924	                        15.248	                        14.619	                         8.653	                          17.6	                        12.187	                        57.558
Went there for business and...	[[Went, there, for, busines...	                         false	                           9.0	                         151.0	                          11.0	                         200.0	                         588.0	            3.9869281045751634	                           5.3	                         9.445	                         9.055	                         6.136	                           9.2	                         6.582	                        77.753
I went to Chicago on busine...	[[I, went, to, Chicago, on,...	                          true	                           7.0	                         156.0	                          25.0	                         241.0	                         732.0	            4.7935483870967746	                        11.814	                        13.925	                        13.351	                        10.838	                          15.2	                        11.331	                        53.519
Room: I stayed in the 16thz...	[[Room:, I, stayed, in, the...	                         false	                          14.0	                         165.0	                          23.0	                         254.0	                         772.0	             4.619318181818182	                           6.5	                        10.451	                         10.02	                         9.758	                           9.6	                         7.171	                         64.64
How should I start? Well, a...	[[How, should, I, start?], ...	                          true	                           7.0	                          52.0	                           7.0	                          75.0	                         212.0	             4.211538461538462	                         1.487	                         8.842	                         8.477	                         4.213	                           8.0	                         4.326	                        77.276
Spent a wonderful night at ...	[[Spent, a, wonderful, nigh...	                         false	                           4.0	                          38.0	                           6.0	                          56.0	                         170.0	             4.578947368421052	                         4.391	                        10.126	                         9.708	                          7.55	                           9.6	                         5.504	                        72.519
Great beds, clean rooms, am...	[[Great, beds, clean, rooms...	                         false	                           2.0	                          30.0	                           8.0	                          56.0	                         161.0	                           5.6	                        11.347	                        14.555	                        13.954	                         13.81	                          16.4	                        12.287	                         33.69
We arrived for a weekend st...	[[We, arrived, for, a, week...	                         false	                           6.0	                          61.0	                           1.0	                          78.0	                         243.0	             4.081967213114754	                         2.416	                         5.461	                         5.236	                         5.663	                           4.4	                         3.464	                        88.339
The stay at the Hilton Chic...	[[The, stay, at, the, Hilto...	                          true	                           6.0	                          56.0	                           8.0	                          87.0	                         254.0	                         4.625	                           4.6	                         9.726	                         9.325	                         7.915	                           9.2	                         6.382	                         65.93
we love the location and pr...	[[we, love, the, location, ...	                         false	                           7.0	                          90.0	                           8.0	                         126.0	                         372.0	             4.139784946236559	                         4.467	                         9.236	                         8.855	                         6.545	                           8.0	                         5.944	                        75.345
This hotel was everything w...	[[This, hotel, was, everyth...	                          true	                           7.0	                          83.0	                           8.0	                         118.0	                         355.0	             4.337349397590361	                         4.644	                         9.236	                         8.855	                         7.392	                           8.0	                          5.81	                        74.525
Dispite what other are sayi...	[[Dispite, what, other, are...	                         false	                           4.0	                          62.0	                           3.0	                          83.0	                         244.0	             4.016129032258065	                         4.856	                         8.076	                         7.743	                          6.38	                           7.6	                         6.252	                        77.848
I chose this hotel for a ni...	[[I, chose, this, hotel, fo...	                         false	                           5.0	                         101.0	                          14.0	                         151.0	                         456.0	             4.466666666666667	                         9.935	                        12.688	                        12.165	                         9.792	                          13.2	                          9.93	                        59.851
My husband and I stayed at ...	[[My, husband, and, I, stay...	                          true	                           5.0	                          73.0	                          12.0	                         115.0	                         347.0	             4.808219178082192	                         8.259	                        11.979	                        11.485	                        10.198	                          12.0	                         8.693	                        58.742
My stay at the Omni Chicago...	[[My, stay, at, the, Omni, ...	                          true	                           6.0	                         111.0	                          16.0	                         165.0	                         483.0	             4.427272727272728	                         8.315	                        12.458	                        11.944	                         8.829	                          12.8	                         9.166	                        62.301
Move beyond the rock theme ...	[[Move, beyond, the, rock, ...	                         false	                           8.0	                         108.0	                          11.0	                         152.0	                         473.0	            4.5514018691588785	                         5.948	                         9.828	                         9.423	                         7.996	                           9.2	                         6.282	                        74.066
This hotel is beautiful, it...	[[This, hotel, is, beautifu...	                          true	                           7.0	                         154.0	                          14.0	                         206.0	                         596.0	            3.9802631578947367	                         7.798	                        11.208	                        10.746	                         5.995	                          12.4	                         8.774	                        71.339
We stayed at the beautiful ...	[[We, stayed, at, the, beau...	                          true	                           5.0	                          93.0	                          20.0	                         155.0	                         456.0	             4.946236559139785	                        10.964	                        14.555	                        13.954	                         12.08	                          15.6	                        11.331	                        46.956
I first walk into the beaut...	[[I, first, walk, into, the...	                          true	                           7.0	                         240.0	                          21.0	                         344.0	                        1021.0	             4.423728813559322	                         15.75	                        13.024	                        12.487	                         9.257	                          16.8	                        14.695	                        50.775
My wife and I just returned...	[[My, wife, and, I, just, r...	                         false	                           5.0	                         116.0	                          18.0	                         181.0	                         534.0	             4.927927927927928	                        11.852	                        13.968	                        13.392	                        10.314	                          15.2	                         11.87	                        51.282
After reading some of the m...	[[After, reading, some, of,...	                         false	                          12.0	                         142.0	                          13.0	                         197.0	                         584.0	             4.338129496402877	                         3.857	                         9.075	                         8.701	                         6.424	                           8.0	                         5.395	                        77.457
Last weekend my wife and i ...	[[Last, weekend, my, wife, ...	                          true	                          11.0	                         277.0	                          32.0	                         399.0	                        1164.0	             4.336996336996337	                        10.953	                        12.873	                        12.342	                         7.951	                          14.4	                        11.228	                        59.415
The elevator system was imp...	[[The, elevator, system, wa...	                         false	                           8.0	                          92.0	                          10.0	                         137.0	                         393.0	             4.472527472527473	                          4.44	                         9.516	                         9.124	                         7.361	                           8.4	                         6.467	                        69.182
We stay at the Palmer House...	[[We, stay, at, the, Palmer...	                         false	                          17.0	                         235.0	                          15.0	                         316.0	                         951.0	             4.352173913043479	                         4.542	                         8.495	                         8.145	                         6.036	                           7.6	                         5.668	                        79.044
The James hotel is located ...	[[The, James, hotel, is, lo...	                         false	                          14.0	                         181.0	                          11.0	                         246.0	                         737.0	            4.1530054644808745	                         4.213	                         8.193	                         7.855	                         6.183	                           7.2	                          5.49	                        78.731
I was very disappointed wit...	[[I, was, very, disappointe...	                          true	                           8.0	                         151.0	                          19.0	                         229.0	                         663.0	             4.583892617449664	                         8.688	                        11.933	                        11.441	                         9.061	                          12.0	                         9.667	                        59.376
If you are looking for a ho...	[[If, you, are, looking, fo...	                         false	                           6.0	                         115.0	                          18.0	                         180.0	                         538.0	              4.84070796460177	                        10.188	                        13.024	                        12.487	                        10.755	                          13.6	                        10.355	                        54.963
Over all, my trip was great...	[[Over, all, my, trip, was,...	                         false	                           8.0	                         138.0	                           6.0	                         174.0	                         564.0	             4.142857142857143	                         6.445	                         8.076	                         7.743	                         7.272	                           8.4	                         6.016	                        82.657
Amalfi Hotel Chicago has se...	[[Amalfi, Hotel, Chicago, h...	                          true	                          14.0	                         264.0	                          42.0	                         407.0	                        1212.0	             4.764478764478764	                         9.622	                        13.024	                        12.487	                         10.24	                          13.2	                         9.956	                         57.27
I was on a business trip to...	[[I, was, on, a, business, ...	                          true	                           9.0	                         225.0	                          24.0	                         312.0	                         908.0	             4.084444444444444	                        10.077	                        12.458	                        11.944	                         6.969	                          14.0	                        10.523	                        64.148
I was extremly unhappy with...	[[I, was, extremly, unhappy...	                          true	                           4.0	                          96.0	                           9.0	                         127.0	                         377.0	             4.138297872340425	                         9.067	                        11.698	                        11.216	                         6.331	                          13.2	                          9.38	                        70.556
I'm a frequent business tra...	[[I'm, a, frequent, busines...	                         false	                          13.0	                         228.0	                          25.0	                         327.0	                         950.0	             4.361607142857143	                         6.964	                        11.051	                        10.596	                         7.742	                          10.8	                         8.174	                        67.699
This hotel was incredible! ...	[[This, hotel, was, incredi...	                          true	                           8.0	                          98.0	                           9.0	                         137.0	                         417.0	             4.316326530612245	                         4.737	                         9.188	                         8.809	                         7.263	                           8.4	                         5.683	                        76.134
